,Assessment Name,URL,Description,Assessment Duration,Test Type,Remote Testing Support,Adaptive/IRT Support
101,Bank Administrative Assistant Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 35,"A, B, K, P, A, B, C, D, E, K, P, S",Yes,No
102,Bank Collections Agent Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
103,Bank Operations Supervisor Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
104,Bilingual Spanish Reservation Agent Solution/,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 43,"B, P, S, A, A, B, C, D, E, K, P, S",Yes,Yes
105,Bookkeeping Accounting Auditing Clerk Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",Approximate Completion Time in minutes = 49,"P, S, K, B, A, A, B, C, D, E, K, P, S",Yes,Yes
106,Branch Manager Short Form/,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 50,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
107,Cashier Solution/,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 28,"B, A, P, A, B, C, D, E, K, P, S",Yes,Yes
108,Account Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 49,"C, P, A, B, A, B, C, D, E, K, P, S",Yes,Yes
109,Administrative Professional Short Form/,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",Approximate Completion Time in minutes = 36,"A, K, P, A, B, C, D, E, K, P, S",Yes,Yes
110,Agency Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 51,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
111,Apprentice 8 0 Job Focused Assessment 4261/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",Approximate Completion Time in minutes = 30,"B, P, A, B, C, D, E, K, P, S",Yes,No
112,Apprentice 8 0 Job Focused Assessment/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",Approximate Completion Time in minutes = 20,"B, P, A, B, C, D, E, K, P, S",Yes,No
113,Bank Administrative Assistant Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 35,"A, B, K, P, A, B, C, D, E, K, P, S",Yes,No
114,Bank Collections Agent Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
115,Bank Operations Supervisor Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
116,Bilingual Spanish Reservation Agent Solution/,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 43,"B, P, S, A, A, B, C, D, E, K, P, S",Yes,Yes
117,Bookkeeping Accounting Auditing Clerk Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",Approximate Completion Time in minutes = 49,"P, S, K, B, A, A, B, C, D, E, K, P, S",Yes,Yes
118,Branch Manager Short Form/,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 50,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
119,Cashier Solution/,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 28,"B, A, P, A, B, C, D, E, K, P, S",Yes,Yes
120,Account Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 49,"C, P, A, B, A, B, C, D, E, K, P, S",Yes,Yes
121,Administrative Professional Short Form/,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",Approximate Completion Time in minutes = 36,"A, K, P, A, B, C, D, E, K, P, S",Yes,Yes
122,Agency Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 51,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
123,Apprentice 8 0 Job Focused Assessment 4261/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",Approximate Completion Time in minutes = 30,"B, P, A, B, C, D, E, K, P, S",Yes,No
124,Apprentice 8 0 Job Focused Assessment/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",Approximate Completion Time in minutes = 20,"B, P, A, B, C, D, E, K, P, S",Yes,No
125,Bank Administrative Assistant Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 35,"A, B, K, P, A, B, C, D, E, K, P, S",Yes,No
126,Bank Collections Agent Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
127,Bank Operations Supervisor Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
128,Bilingual Spanish Reservation Agent Solution/,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 43,"B, P, S, A, A, B, C, D, E, K, P, S",Yes,Yes
129,Bookkeeping Accounting Auditing Clerk Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",Approximate Completion Time in minutes = 49,"P, S, K, B, A, A, B, C, D, E, K, P, S",Yes,Yes
130,Branch Manager Short Form/,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 50,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
131,Cashier Solution/,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 28,"B, A, P, A, B, C, D, E, K, P, S",Yes,Yes
132,Account Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 49,"C, P, A, B, A, B, C, D, E, K, P, S",Yes,Yes
133,Administrative Professional Short Form/,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",Approximate Completion Time in minutes = 36,"A, K, P, A, B, C, D, E, K, P, S",Yes,Yes
134,Agency Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 51,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
135,Apprentice 8 0 Job Focused Assessment 4261/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",Approximate Completion Time in minutes = 30,"B, P, A, B, C, D, E, K, P, S",Yes,No
136,Apprentice 8 0 Job Focused Assessment/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",Approximate Completion Time in minutes = 20,"B, P, A, B, C, D, E, K, P, S",Yes,No
137,Bank Administrative Assistant Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 35,"A, B, K, P, A, B, C, D, E, K, P, S",Yes,No
138,Bank Collections Agent Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
139,Bank Operations Supervisor Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
140,Bilingual Spanish Reservation Agent Solution/,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 43,"B, P, S, A, A, B, C, D, E, K, P, S",Yes,Yes
141,Bookkeeping Accounting Auditing Clerk Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",Approximate Completion Time in minutes = 49,"P, S, K, B, A, A, B, C, D, E, K, P, S",Yes,Yes
142,Branch Manager Short Form/,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 50,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
143,Cashier Solution/,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 28,"B, A, P, A, B, C, D, E, K, P, S",Yes,Yes
144,Account Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 49,"C, P, A, B, A, B, C, D, E, K, P, S",Yes,Yes
145,Administrative Professional Short Form/,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",Approximate Completion Time in minutes = 36,"A, K, P, A, B, C, D, E, K, P, S",Yes,Yes
146,Agency Manager Solution/,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 51,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
147,Apprentice 8 0 Job Focused Assessment 4261/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",Approximate Completion Time in minutes = 30,"B, P, A, B, C, D, E, K, P, S",Yes,No
148,Apprentice 8 0 Job Focused Assessment/,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",Approximate Completion Time in minutes = 20,"B, P, A, B, C, D, E, K, P, S",Yes,No
149,Bank Administrative Assistant Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",Approximate Completion Time in minutes = 35,"A, B, K, P, A, B, C, D, E, K, P, S",Yes,No
150,Bank Collections Agent Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
151,Bank Operations Supervisor Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 45,"A, B, P, S, A, B, C, D, E, K, P, S",Yes,Yes
152,Bilingual Spanish Reservation Agent Solution/,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",Approximate Completion Time in minutes = 43,"B, P, S, A, A, B, C, D, E, K, P, S",Yes,Yes
153,Bookkeeping Accounting Auditing Clerk Short Form/,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",Approximate Completion Time in minutes = 49,"P, S, K, B, A, A, B, C, D, E, K, P, S",Yes,Yes
154,Branch Manager Short Form/,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",Approximate Completion Time in minutes = 50,"A, B, P, A, B, C, D, E, K, P, S",Yes,No
